caveat_id,sort_rank,category,title,metro_scope,priced,usd_per_year,usd_per_it_mwh,direction,ruling_ref,source_ref,statement
C-FERC-H13,1,unpriced,ComEd FERC OATT Attachment H-13 take-or-pay floor,Chicago,0,,,understates,Dockets 25-0677/25-0679,era_ph4_report_v1.1.md section 6,"A ten-year FERC-jurisdictional Transmission Security Agreement guaranteeing that annual PJM transmission payments under OATT Attachment H-13 do not fall below what the submitted load ramp implies, with any shortfall recovered from the customer. It is the single largest UNPRICED item in this project and it carries no dollar figure here, which is the point."
C-CAPEX,2,unpriced,Substation and interconnection capex transfer,Columbus;Dallas-Fort Worth;San Jose / Bay Area,0,,,understates,-,era_ph4_report_v1.1.md section 8 caveat 1,Every voltage sibling is priced against an UNPRICED transfer of substation and interconnection capex onto the customer. It is stated wherever a sibling appears and it is in no total.
C-RETAIL-PROXY,3,unpriced,Retail schedules stand proxy for a >100 MW contract,all,0,,,unknown,direction_ph1_tariff_db_v1.0.md,direction_ph1_tariff_db_v1.0.md; semester-plan.md,"A giga-scale campus exceeds every published retail schedule in the library. The largest published schedule is used as a documented proxy for a negotiated large-load contract, and the negotiated contract is what a real campus would sign."
C-VOLT-EXCL,4,excluded,"Three voltage siblings, priced and deliberately EXCLUDED",Columbus;Dallas-Fort Worth;San Jose / Bay Area,1,-741104525.28,-93.894937,would overstate,-,era_ph4_report_v1.1.md section 4,"M-COL-VOLT, M-DFW-VOLT and M-SJ-VOLT are BASELINE-SIDE: the published baseline is already billed on the higher-voltage schedule. Counting them again would overstate the mitigation by 2.7x the entire real stack. They are shown as an excluded band, never as an absence."
C-PGE-OPT-R,5,unavailable,PG&E Option R is unavailable to a load of this shape,San Jose / Bay Area,1,91828409.00,11.634300,overstates cost if elected,Ruling 10,era_ph4_report_v1.1.md section 4,"The modelled battery is 8.32 % of the 1,201,596 kW facility peak against an eligibility floor of 20 %. Priced anyway it is a net LOSS, and the dominant term is the shared energy uplift rather than the demand structure."
C-PGE-OPT-S,6,unavailable,PG&E Option S is unavailable to a load of this shape,San Jose / Bay Area,1,103339369.00,13.092700,overstates cost if elected,Ruling 10,era_ph4_report_v1.1.md section 4,"Against a 10 % floor, and Option S's smallest qualifying system is 2.403x the entire 50 MW B-20 programme cap - unreachable by construction, and barred on day one at a new location by the sheet's own words."
C-F4C-7,7,open_ruling,"ComEd Rate BESH: the WINDOW is ruled, the ZONAL SCALING FACTOR is not (Chicago pair)",Chicago,1,-7511259.92,,either,P6-R10,era_ph4_report_v1.1.md section 5,"P6-R10 ADOPTED the derived_uniform coincident-peak window, so the half of F4C-7 that was about the window is discharged. What keeps the row open is the OTHER half: the PLC is a 5CP average times a zonal scaling factor, and no source this project has read publishes ComEd's ZSF, so every Chicago figure stands at ZSF = 1.000 by assumption. Chicago publishes as a PAIR until the ZSF is sourced. This is an EPISTEMIC bracket (F6E-2): it has no expiry, because what is missing is a fact about the world."
C-F4B-2,8,open_ruling,Dominion GS-4's three demand quantities are RULED; the engine cannot yet bill them (Northern Virginia pair),Northern Virginia,1,-39269141.07,,either,P6-R14,era_ph4_report_v1.1.md section 5,"Northern Virginia publishes as a pair. The primary figure is what this project's billing engine bills from its database. The alternative, 92.6193 $ per IT-MWh, is what Dominion Schedule GS-4 bills: the tariff's three demand quantities - Distribution Demand under a 100 % twelve-month ratchet, On-Peak Electricity Supply Demand under a 75 % summer-anchored ratchet, and Off-Peak Electricity Supply Demand as the excess over 90 % of the on-peak quantity - priced from the paragraphs themselves. The 5.1473 $ per IT-MWh gap is a limitation of this project's billing engine, not an uncertainty about the tariff. It closes when schema v1.5 gives the schedule three billing determinants and a per-determinant ratchet, at which point this metro publishes a single figure. This is a MODELLING bracket (F6E-2) and its due date is Unit 6F."
C-CHI-5CP,9,limitation,Chicago's PJM coincident-peak window is DERIVED and carries two named residuals,Chicago,0,,,unknown,P6-R10,era_ph4_report_v1.1.md section 8 caveat 2,"Chicago's PJM coincident-peak window is DERIVED from 22 observations of the PJM RTO annual summer peak hour (2025 State of the Market Report for PJM, Section 3, Table 3-6) and carries two named residuals: the zonal scaling factor is unsourced, so every figure is unscaled (ZSF = 1.000); and the source tabulates the annual peak hour, not the five-day 5CP candidate set. The window is June-August, 14:00-17:00 Chicago prevailing, weekdays - and the weekday restriction is EMPIRICAL here (22 of 22 observations), where ERCOT's 4CP weekday restriction is ASSUMED, with cp4_kw_allday reported beside it as the sensitivity. The two coincident peaks are not one method."
C-PUE-BIAS,10,limitation,"The two-segment PUE overlay: the chord bias is REMOVED, and what the form does not see",all,0,,,no longer an upper bound in this channel,Ruling 14 / P6-R18,era_ph4_report_v1.1.md section 8 caveat 6,"SUPERSEDED, with record. Above the 25.556 C design wet bulb the economiser is fully out and the only remaining channel is the chiller's own 1.5 %/F. Through Unit 6E-1 these extracts carried a single CHORD across the whole range, which OVERSTATED PUE above the design point by up to 0.0184 at Phoenix, 0.0171 at Austin and 0.0122 at Dallas-Fort Worth - at the interval that sets the demand charge in five of eight metros - so every figure was an upper bound in that channel. These extracts are on the two_segment_ph6 form, which prices that range at a marginal 0.00198 PUE/C against the chord's 0.00471, and the bias is gone. What the form does NOT see, stated rather than narrated away: its acceptance gate reads only each metro's single hottest interval and is blind to the shape of the correction between the design point and the maximum; and nothing in the form prices a tariff - the dollar effect is Unit 4E's measurement. The form MOVES THE BILLED PEAK INTERVAL in three of eight metros (Atlanta, Austin and Northern Virginia) and leaves the metro order unchanged at every bracket-end combination."
